task,instruction,offset_cm,yaw_deg,episode,direction,reached_start_pose,start_pose_err_cm,move_steps,success,steps,wall_sec
7,turn on the stove,6.0,0.0,9,"[-0.92, -0.391, 0.015]",True,0.61,12,True,76,10.6
7,turn on the stove,8.0,0.0,0,"[-0.639, 0.434, 0.635]",True,0.81,12,True,73,14.3
7,turn on the stove,8.0,0.0,1,"[0.249, 0.622, 0.743]",True,0.15,12,True,74,14.5
7,turn on the stove,8.0,0.0,2,"[0.39, -0.915, 0.102]",True,0.39,13,True,82,15.6
7,turn on the stove,8.0,0.0,3,"[0.574, 0.817, 0.051]",True,0.32,12,False,300,42.4
7,turn on the stove,8.0,0.0,4,"[-0.897, -0.398, 0.195]",True,0.99,13,True,78,14.5
7,turn on the stove,8.0,0.0,5,"[0.666, -0.157, 0.73]",True,0.73,13,True,86,14.6
7,turn on the stove,8.0,0.0,6,"[-0.465, 0.864, 0.191]",True,0.62,12,True,72,14.3
7,turn on the stove,8.0,0.0,7,"[0.927, 0.187, 0.324]",True,1.02,14,True,88,16.4
7,turn on the stove,8.0,0.0,8,"[0.019, 0.959, 0.281]",True,0.2,13,True,67,13.4
7,turn on the stove,8.0,0.0,9,"[-0.92, -0.391, 0.015]",True,0.88,13,True,76,13.6
