pair,switch_at,strategy,episode,switched,grasp_step,a_steps_before_switch,holding_at_switch,held_object,a_success,b_success,b_failure_type,a_completed_during_b,a_resume_success,both_success,drop,reaction_steps,jerk,wall_sec
2→5,step:15,keep,3,True,,15,False,,,False,시간 초과,False,False,False,False,8,10.439495032202613,91.1
2→5,step:15,keep,4,True,,15,False,,,False,시간 초과,False,False,False,False,8,10.086686894687283,89.4
2→5,step:15,keep,5,True,,15,False,,,False,시간 초과,False,False,False,False,9,11.579217866339048,89.8
2→5,step:15,keep,6,True,,15,False,,,False,시간 초과,False,False,False,False,9,10.987131173411726,88.2
2→5,step:15,keep,7,True,,15,False,,,False,시간 초과,False,False,False,False,9,6.849418465741759,90.7
2→5,step:15,keep,8,True,,15,False,,,False,시간 초과,False,False,False,False,9,8.830489174701684,90.5
2→5,step:15,keep,9,True,,15,False,,,False,시간 초과,False,False,False,False,8,11.002542115323257,80.7
2→5,step:15,none,0,True,,15,False,,True,,,,,,False,,6.380604326725691,8.6
2→5,step:15,none,1,True,,15,False,,True,,,,,,False,,7.9948039241090205,14.8
2→5,step:15,none,2,True,,15,False,,True,,,,,,False,,5.519512834737008,13.4
2→5,step:15,none,3,True,,15,False,,True,,,,,,False,,7.524831632993027,13.4
2→5,step:15,none,4,True,,15,False,,True,,,,,,False,,6.8024432939885235,12.1
2→5,step:15,none,5,True,,15,False,,True,,,,,,False,,5.608110837838906,12.1
2→5,step:15,none,6,True,,15,False,,True,,,,,,False,,3.6909719673228416,22.9
2→5,step:15,none,7,True,,15,False,,True,,,,,,False,,7.409889990267209,14.8
2→5,step:15,none,8,True,,15,False,,True,,,,,,False,,4.454347533001594,16.3
2→5,step:15,none,9,True,,15,False,,True,,,,,,False,,6.6603905207508864,13.8
2→5,step:15,retreat,0,True,,15,False,,,True,,False,False,False,False,4,7.886781566795619,77.9
2→5,step:15,retreat,1,True,,15,False,,,True,,False,False,False,False,5,8.089715361799072,56.3
2→5,step:15,retreat,2,True,,15,False,,,True,,False,True,True,False,5,8.080255609285606,35.1
2→5,step:15,retreat,3,True,,15,False,,,True,,False,False,False,False,4,8.171111189957001,87.6
2→5,step:15,retreat,4,True,,15,False,,,False,시간 초과,False,False,False,False,4,7.936692995604018,88.0
2→5,step:15,retreat,5,True,,15,False,,,True,,False,True,False,False,5,6.9498577280207705,27.6
2→5,step:15,retreat,6,True,,15,False,,,True,,False,False,False,False,6,8.225294998500132,64.6
2→5,step:15,retreat,7,True,,15,False,,,False,시간 초과,False,True,False,False,4,7.617786173637772,61.5
2→5,step:15,retreat,8,True,,15,False,,,False,시간 초과,False,True,False,False,5,7.787442466940715,62.7
2→5,step:15,retreat,9,True,,15,False,,,True,,False,True,True,False,4,7.534227334706088,28.6
4→7,grasp:20,blend,0,True,33,53,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,6,7.427081029594824,96.9
4→7,grasp:20,blend,1,True,36,56,True,akita_black_bowl_1,,True,,False,False,False,False,6,8.24997654228856,77.4
4→7,grasp:20,blend,2,True,40,60,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,5,6.275155328216569,96.6
4→7,grasp:20,blend,3,True,33,53,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,6,6.112412927017791,97.4
4→7,grasp:20,blend,4,True,32,52,True,akita_black_bowl_1,,True,,False,False,False,False,6,6.145489691713606,92.5
4→7,grasp:20,blend,5,True,34,54,False,,,False,시간 초과,False,False,False,False,5,8.447854200171687,95.5
4→7,grasp:20,blend,6,True,37,57,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,6,8.544477098900968,97.6
4→7,grasp:20,blend,7,True,33,53,True,akita_black_bowl_1,,True,,False,False,False,False,5,5.694320341291138,92.9
4→7,grasp:20,blend,8,True,34,54,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,6,7.23430799481398,87.6
4→7,grasp:20,blend,9,True,31,51,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,2,5.700263482147283,84.5
4→7,grasp:20,flush,0,True,33,53,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,3,7.919388905388483,96.7
4→7,grasp:20,flush,1,True,36,56,True,akita_black_bowl_1,,True,,False,False,False,False,2,10.398105001478505,76.3
4→7,grasp:20,flush,2,True,40,60,True,akita_black_bowl_1,,True,,False,False,False,False,2,9.197912040761297,76.9
4→7,grasp:20,flush,3,True,33,53,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,3,8.455551025333243,96.4
4→7,grasp:20,flush,4,True,32,52,True,akita_black_bowl_1,,True,,False,False,False,False,3,7.8486468127154625,73.7
4→7,grasp:20,flush,5,True,34,54,False,,,False,시간 초과,False,False,False,False,2,11.961456922689356,97.9
4→7,grasp:20,flush,6,True,37,57,True,akita_black_bowl_1,,True,,False,False,False,False,2,11.717544854013633,70.6
4→7,grasp:20,flush,7,True,33,53,True,akita_black_bowl_1,,True,,False,False,False,False,2,10.708080392473638,75.2
4→7,grasp:20,flush,8,True,34,54,True,akita_black_bowl_1,,True,,False,False,False,False,3,8.435545312432572,80.8
4→7,grasp:20,flush,9,True,31,51,True,akita_black_bowl_1,,True,,False,False,False,False,1,7.9428144044556594,78.4
4→7,grasp:20,keep,0,True,33,53,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,9,8.828520785385848,95.9
4→7,grasp:20,keep,1,True,36,56,True,akita_black_bowl_1,,True,,False,False,False,False,6,10.098921386372018,75.7
4→7,grasp:20,keep,2,True,40,60,True,akita_black_bowl_1,,True,,False,False,False,False,2,9.197912040761297,78.4
4→7,grasp:20,keep,3,True,33,53,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,9,8.748187692358568,97.2
4→7,grasp:20,keep,4,True,32,52,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,10,8.634908712200247,96.6
4→7,grasp:20,keep,5,True,34,54,False,,,True,,False,False,False,False,8,11.403035847341458,70.1
4→7,grasp:20,keep,6,True,37,57,True,akita_black_bowl_1,,True,,False,False,False,False,5,11.914384705818792,70.7
4→7,grasp:20,keep,7,True,33,53,True,akita_black_bowl_1,,True,,False,False,False,False,9,9.313983860885516,75.6
4→7,grasp:20,keep,8,True,34,54,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,8,9.01802499987748,90.7
4→7,grasp:20,keep,9,True,31,51,True,akita_black_bowl_1,,True,,False,False,False,False,3,8.754818488054001,67.6
4→7,grasp:20,none,0,True,33,53,True,akita_black_bowl_1,True,,,,,,False,,5.1569758744554655,12.4
4→7,grasp:20,none,1,True,36,56,True,akita_black_bowl_1,True,,,,,,False,,7.517069079104525,11.7
4→7,grasp:20,none,2,True,40,60,True,akita_black_bowl_1,True,,,,,,False,,8.521926651423447,11.7
4→7,grasp:20,none,3,True,33,53,True,akita_black_bowl_1,True,,,,,,False,,8.008321394883982,11.9
4→7,grasp:20,none,4,True,32,52,True,akita_black_bowl_1,True,,,,,,False,,5.544399595952591,12.0
4→7,grasp:20,none,5,True,35,55,False,,False,,,,,,False,,8.79569551181259,52.2
4→7,grasp:20,none,6,True,37,57,True,akita_black_bowl_1,True,,,,,,False,,9.81320411855462,11.9
4→7,grasp:20,none,7,True,33,53,True,akita_black_bowl_1,True,,,,,,False,,6.861315334355367,12.0
4→7,grasp:20,none,8,True,34,54,True,akita_black_bowl_1,True,,,,,,False,,7.250661563178849,13.2
4→7,grasp:20,none,9,True,29,49,True,akita_black_bowl_1,True,,,,,,False,,7.023717635770333,7.7
4→7,grasp:20,retreat,0,True,33,53,True,akita_black_bowl_1,,True,,False,True,True,False,2,3.977700912571569,39.0
4→7,grasp:20,retreat,1,True,36,56,True,akita_black_bowl_1,,True,,False,True,True,False,2,3.4741530418788362,33.9
4→7,grasp:20,retreat,2,True,40,60,True,akita_black_bowl_1,,True,,False,True,True,False,2,3.7038129664140107,33.5
4→7,grasp:20,retreat,3,True,33,53,True,akita_black_bowl_1,,True,,False,True,True,False,2,3.7860150007197118,33.3
4→7,grasp:20,retreat,4,True,32,52,True,akita_black_bowl_1,,True,,False,True,True,False,2,3.9359696564892483,36.0
4→7,grasp:20,retreat,5,True,34,54,False,,,True,,False,False,False,False,2,3.725896231188619,67.4
4→7,grasp:20,retreat,6,True,37,57,True,akita_black_bowl_1,,True,,False,True,True,False,2,4.242889021101705,30.3
4→7,grasp:20,retreat,7,True,33,53,True,akita_black_bowl_1,,True,,False,True,True,False,2,3.8797154331643378,34.9
4→7,grasp:20,retreat,8,True,34,54,True,akita_black_bowl_1,,True,,False,True,True,False,2,3.893991769942952,33.3
4→7,grasp:20,retreat,9,True,31,51,True,akita_black_bowl_1,,True,,False,True,True,False,1,3.987859909703049,34.2
4→7,grasp:3,blend,0,True,33,36,True,akita_black_bowl_1,,True,,False,False,False,False,13,6.447514592518299,67.6
4→7,grasp:3,blend,1,True,36,39,True,akita_black_bowl_1,,True,,False,False,False,False,9,8.10899790103057,75.7
4→7,grasp:3,blend,2,True,40,43,True,akita_black_bowl_1,,True,,False,False,False,False,11,7.4916395936661875,74.9
4→7,grasp:3,blend,3,True,33,36,True,akita_black_bowl_1,,True,,False,False,False,False,12,7.946120177439197,81.7
4→7,grasp:3,blend,4,True,32,35,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,11,7.1887468305182525,93.7
4→7,grasp:3,blend,5,True,34,37,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,7,7.995242707335431,93.8
4→7,grasp:3,blend,6,True,34,37,True,akita_black_bowl_1,,True,,False,False,False,False,14,9.74104116926235,70.2
4→7,grasp:3,blend,7,True,33,36,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,13,6.043606003787833,93.3
4→7,grasp:3,blend,8,True,34,37,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,10,6.248465789694378,95.9
4→7,grasp:3,blend,9,True,31,34,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,10,8.059417934205023,94.4
4→7,grasp:3,flush,0,True,33,36,True,akita_black_bowl_1,,True,,False,False,False,False,11,7.663244599240616,75.0
4→7,grasp:3,flush,1,True,36,39,True,akita_black_bowl_1,,True,,False,False,False,False,9,8.534858290508117,80.1
4→7,grasp:3,flush,2,True,40,43,True,akita_black_bowl_1,,True,,False,False,False,False,8,8.096697900246488,71.1
4→7,grasp:3,flush,3,True,33,36,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,9,8.526456413830713,94.6
4→7,grasp:3,flush,4,True,32,35,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,10,6.647215881179521,94.1
4→7,grasp:3,flush,5,True,34,37,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,6,9.607133080822514,93.8
4→7,grasp:3,flush,6,True,37,40,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,10,8.902302042546234,94.3
4→7,grasp:3,flush,7,True,33,36,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,10,7.253509235985839,94.8
4→7,grasp:3,flush,8,True,34,37,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,10,6.345461458372195,94.2
4→7,grasp:3,flush,9,True,31,34,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,8,7.561506065610153,84.9
4→7,grasp:3,keep,0,True,33,36,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,12,7.461074980624276,83.5
4→7,grasp:3,keep,1,True,36,39,True,akita_black_bowl_1,,True,,False,False,False,False,9,8.473523004720688,78.3
4→7,grasp:3,keep,2,True,40,43,True,akita_black_bowl_1,,True,,False,False,False,False,11,9.060563925812101,72.7
4→7,grasp:3,keep,3,True,33,36,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,11,8.550145921886909,94.5
4→7,grasp:3,keep,4,True,32,35,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,11,6.837792197215028,98.2
4→7,grasp:3,keep,5,True,34,37,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,7,8.732664185527504,95.2
4→7,grasp:3,keep,6,True,37,40,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,11,8.627274796357375,94.9
4→7,grasp:3,keep,7,True,33,36,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,10,7.581419396269913,95.4
4→7,grasp:3,keep,8,True,34,37,True,akita_black_bowl_1,,True,,False,False,False,False,9,7.340168376895655,67.0
4→7,grasp:3,keep,9,True,31,34,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,11,8.750216127021606,83.4
4→7,grasp:3,none,0,True,33,36,True,akita_black_bowl_1,True,,,,,,False,,5.158848056332667,12.1
4→7,grasp:3,none,1,True,36,39,True,akita_black_bowl_1,True,,,,,,False,,8.17753716540928,10.8
4→7,grasp:3,none,2,True,40,43,True,akita_black_bowl_1,True,,,,,,False,,7.801905831107513,11.9
4→7,grasp:3,none,3,True,33,36,True,akita_black_bowl_1,True,,,,,,False,,7.843173778959403,12.3
4→7,grasp:3,none,4,True,32,35,True,akita_black_bowl_1,True,,,,,,False,,6.149004736805125,12.3
4→7,grasp:3,none,5,True,35,38,True,akita_black_bowl_1,False,,,,,,False,,9.054301991669776,49.2
4→7,grasp:3,none,6,True,37,40,True,akita_black_bowl_1,True,,,,,,False,,8.377700572603887,10.1
4→7,grasp:3,none,7,True,33,36,True,akita_black_bowl_1,True,,,,,,False,,7.197456643234622,12.5
4→7,grasp:3,none,8,True,34,37,True,akita_black_bowl_1,True,,,,,,False,,5.966234024649196,13.8
4→7,grasp:3,none,9,True,31,34,True,akita_black_bowl_1,True,,,,,,False,,7.393849441337219,11.1
4→7,grasp:3,retreat,0,True,33,36,True,akita_black_bowl_1,,True,,False,False,False,False,7,2.5562240903292097,60.2
4→7,grasp:3,retreat,1,True,36,39,True,akita_black_bowl_1,,True,,False,True,True,False,5,3.911312735888918,32.5
4→7,grasp:3,retreat,2,True,40,43,True,akita_black_bowl_1,,True,,False,True,True,False,6,3.1788491692526515,27.8
4→7,grasp:3,retreat,3,True,33,36,True,akita_black_bowl_1,,True,,False,True,True,False,7,2.8908644466562943,30.6
4→7,grasp:3,retreat,4,True,32,35,True,akita_black_bowl_1,,True,,False,True,True,False,8,3.212833561906263,29.3
4→7,grasp:3,retreat,5,True,34,37,True,akita_black_bowl_1,,True,,False,True,True,False,5,2.916395106798744,30.9
4→7,grasp:3,retreat,6,True,37,40,True,akita_black_bowl_1,,True,,False,False,False,False,8,2.9278915591071266,54.2
4→7,grasp:3,retreat,7,True,33,36,True,akita_black_bowl_1,,True,,False,False,False,False,7,3.778981444437198,61.9
4→7,grasp:3,retreat,8,True,34,37,True,akita_black_bowl_1,,True,,False,True,True,False,6,2.631904062986517,31.9
4→7,grasp:3,retreat,9,True,31,34,True,akita_black_bowl_1,,True,,False,True,True,False,6,3.4001119294194386,28.4
4→7,step:15,blend,0,True,,15,False,,,True,,False,False,False,False,10,7.631837989221991,49.9
4→7,step:15,blend,1,True,,15,False,,,False,시간 초과,False,False,False,False,8,6.978847681852997,91.7
4→7,step:15,blend,2,True,,15,False,,,False,시간 초과,False,False,False,False,10,7.5679171078256795,90.2
4→7,step:15,blend,3,True,,15,False,,,False,시간 초과,False,False,False,False,9,8.02618120319621,90.6
4→7,step:15,blend,4,True,,15,False,,,False,시간 초과,False,False,False,False,10,5.8518119043649,91.7
4→7,step:15,blend,5,True,,15,False,,,False,시간 초과,False,False,False,False,10,7.673097460507246,92.5
4→7,step:15,blend,6,True,,15,False,,,False,시간 초과,False,False,False,False,11,8.61998296748949,90.3
4→7,step:15,blend,7,True,,15,False,,,False,시간 초과,False,False,False,False,10,7.61502702658976,90.3
4→7,step:15,blend,8,True,,15,False,,,True,,False,False,False,False,11,7.956987760727048,91.5
4→7,step:15,blend,9,True,,15,False,,,False,시간 초과,False,False,False,False,10,8.290273628210334,92.4
4→7,step:15,flush,0,True,,15,False,,,False,시간 초과,False,False,False,False,4,9.417137577240913,80.8
4→7,step:15,flush,1,True,,15,False,,,False,시간 초과,False,False,False,False,5,7.140300260643362,89.8
4→7,step:15,flush,2,True,,15,False,,,False,시간 초과,False,False,False,False,3,9.672447130166224,91.1
4→7,step:15,flush,3,True,,15,False,,,False,시간 초과,False,False,False,False,3,8.330317841788059,90.2
4→7,step:15,flush,4,True,,15,False,,,False,시간 초과,False,False,False,False,4,7.6750536218553815,91.0
4→7,step:15,flush,5,True,,15,False,,,False,시간 초과,False,False,False,False,3,8.57413937616599,91.5
4→7,step:15,flush,6,True,,15,False,,,False,시간 초과,False,False,False,False,4,10.3240187728013,89.2
4→7,step:15,flush,7,True,,15,False,,,False,시간 초과,False,False,False,False,5,12.152744429838448,90.9
4→7,step:15,flush,8,True,,15,False,,,False,시간 초과,False,False,False,False,3,10.546169486508584,91.0
4→7,step:15,flush,9,True,,15,False,,,False,시간 초과,False,False,False,False,4,9.3505216517865,81.8
4→7,step:15,keep,0,True,,15,False,,,True,,False,False,False,False,11,7.263142053843001,63.5
4→7,step:15,keep,1,True,,15,False,,,True,,False,False,False,False,10,10.095691968420638,61.2
4→7,step:15,keep,2,True,,15,False,,,False,시간 초과,False,False,False,False,10,9.338659076614764,90.7
4→7,step:15,keep,3,True,,15,False,,,False,시간 초과,False,False,False,False,10,7.429246795776405,90.9
4→7,step:15,keep,4,True,,15,False,,,False,시간 초과,False,False,False,False,11,6.444198284573077,90.4
4→7,step:15,keep,5,True,,15,False,,,False,시간 초과,False,False,False,False,10,8.626319038771168,90.4
4→7,step:15,keep,6,True,,15,False,,,True,,False,False,False,False,11,8.022813115528255,88.2
4→7,step:15,keep,7,True,,15,False,,,False,시간 초과,False,False,False,False,11,7.2922747082743715,90.2
4→7,step:15,keep,8,True,,15,False,,,False,시간 초과,False,False,False,False,10,7.09026057939792,92.0
4→7,step:15,keep,9,True,,15,False,,,False,시간 초과,False,False,False,False,11,8.601658474681912,91.1
4→7,step:15,none,0,True,,15,False,,True,,,,,,False,,9.445570029879088,11.1
4→7,step:15,none,1,True,,15,False,,True,,,,,,False,,7.329194732576384,12.1
4→7,step:15,none,2,True,,15,False,,True,,,,,,False,,7.629181853869016,12.0
4→7,step:15,none,3,True,,15,False,,True,,,,,,False,,7.9346130326546085,13.4
4→7,step:15,none,4,True,,15,False,,True,,,,,,False,,7.330642817528712,12.2
4→7,step:15,none,5,True,,15,False,,False,,,,,,False,,7.244166960113994,46.7
4→7,step:15,none,6,True,,15,False,,True,,,,,,False,,9.527714509953617,11.1
4→7,step:15,none,7,True,,15,False,,True,,,,,,False,,7.6953803111576375,13.3
4→7,step:15,none,8,True,,15,False,,True,,,,,,False,,6.400228947458913,14.0
4→7,step:15,none,9,True,,15,False,,True,,,,,,False,,7.685107461244073,11.9
4→7,step:15,retreat,0,True,,15,False,,,True,,False,False,False,False,3,7.395644301998112,57.1
4→7,step:15,retreat,1,True,,15,False,,,True,,False,True,True,False,3,7.862356894210844,23.1
4→7,step:15,retreat,2,True,,15,False,,,True,,False,True,True,False,3,8.01046227376005,25.4
4→7,step:15,retreat,3,True,,15,False,,,True,,False,True,True,False,3,7.947926284380019,29.0
4→7,step:15,retreat,4,True,,15,False,,,True,,False,True,True,False,3,7.375978997403716,26.9
4→7,step:15,retreat,5,True,,15,False,,,True,,False,True,True,False,3,7.540590228178139,26.7
4→7,step:15,retreat,6,True,,15,False,,,True,,False,True,True,False,3,7.275336400824043,24.3
4→7,step:15,retreat,7,True,,15,False,,,True,,False,False,False,False,3,7.869940697455864,54.5
4→7,step:15,retreat,8,True,,15,False,,,True,,False,True,True,False,3,7.97823915290364,27.6
4→7,step:15,retreat,9,True,,15,False,,,True,,False,True,True,False,3,8.502080737939531,25.2
8→7,grasp:20,blend,0,True,40,60,True,akita_black_bowl_1,,False,시간 초과,False,False,False,False,6,7.976061266649357,98.3
8→7,grasp:20,blend,1,True,39,59,True,akita_black_bowl_1,,True,,False,False,False,False,5,10.638916366469498,76.5
8→7,grasp:20,blend,2,True,39,59,True,akita_black_bowl_1,,True,,False,False,False,False,5,7.188673479118556,77.6
8→7,grasp:20,blend,3,True,37,57,True,akita_black_bowl_1,,True,,False,False,False,False,6,7.798931803120046,80.8
